id,director_id,title,budget,revenue,release_year,avg_score,imdb_vote_count
0,12,The Devil's Backbone,4500000,6582065,2001,7.95,72828
1,12,Pan's Labyrinth,19000000,83258226,2006,8.82,742180
2,12,Hellboy,66000000,99318987,2004,7.22,369044
3,12,Hellboy II: The Golden Army,85000000,160388063,2008,7.55,297109
4,12,Mimic,30000000,25480490,1997,6.09,57996
5,12,Blade II,54000000,155010032,2002,6.04,251178
6,12,Pacific Rim,180000000,411000000,2013,6.88,555685
7,12,Crimson Peak,55000000,74700000,2015,6.75,168637
8,12,Frankenstein,120000000,480678,2025,7.87,257226
9,12,The Shape of Water,19500000,195300000,2017,8.11,472626
10,12,Guillermo del Toro's Pinocchio,35000000,0,2022,6.56,142865
11,12,Nightmare Alley,60000000,39629195,2021,7.24,176503
